,stop_id,stop_lat,stop_lon,Number of Stops,City,State
3546,8444.0,41.455049,-81.55882700000001,3,,
3545,8443.0,41.455003000000005,-81.559079,3,,
3544,8442.0,41.455059999999996,-81.561797,3,,
3543,8441.0,41.454992,-81.56211,3,,
1018,3009.0,41.480032,-81.881918,3,,
3542,8440.0,41.455108,-81.568768,3,,
2574,6479.0,41.482321999999996,-81.949675,3,,
4845,11879.0,41.610731,-81.521854,3,,
3674,8714.0,41.483005,-81.90388100000001,3,,
4844,11878.0,41.608868,-81.52342900000001,3,,
5696,14874.0,41.238458,-81.841223,3,,
5708,14886.0,41.245751,-81.84115,3,,
3324,7943.0,41.463643,-81.599436,3,,
5695,14873.0,41.232959,-81.84127099999999,3,,
5694,14872.0,41.232831,-81.84145,3,,
3864,9315.0,41.481834,-81.85409399999999,3,,
77,302.0,41.457591,-81.576491,3,,
4024,9747.0,41.248206,-81.841127,3,,
5693,14871.0,41.23802,-81.841404,3,,
5692,14870.0,41.241884000000006,-81.841367,3,,
5691,14869.0,41.245622999999995,-81.841329,3,,
4798,11740.0,41.358035,-81.50790400000001,3,,
87,337.0,41.455002,-81.570784,3,,
4797,11739.0,41.358002,-81.50415,3,,
3869,9324.0,41.492776,-81.959773,3,,
91,342.0,41.455103,-81.570588,3,,
3870,9325.0,41.490706,-81.959848,3,,
3863,9314.0,41.482754,-81.84928199999999,3,,
5697,14875.0,41.241702000000004,-81.84119100000001,3,,
5698,14876.0,41.253707,-81.841083,3,,
65,254.0,41.45754,-81.584486,3,,
3860,9309.0,41.480928999999996,-81.860561,3,,
5703,14881.0,41.275481,-81.835892,3,,
5702,14880.0,41.271453,-81.83833,3,,
4468,10939.0,41.482040000000005,-81.878582,3,,
4804,11746.0,41.366284,-81.52667,3,,
4505,11003.0,41.487221000000005,-81.830774,3,,
5701,14879.0,41.267989,-81.84044200000001,3,,
1209,3501.0,41.481429999999996,-81.920925,3,,
3871,9326.0,41.488392,-81.959926,3,,
4025,9748.0,41.248475,-81.84130400000001,3,,
4767,11620.0,41.597184000000006,-81.549984,3,,
4026,9753.0,41.261454,-81.841039,3,,
4807,11749.0,41.372417,-81.52674300000001,3,,
5700,14878.0,41.264837,-81.841064,3,,
5699,14877.0,41.256997999999996,-81.841063,3,,
4332,10497.0,41.594141,-81.512792,3,,
5240,14274.0,41.481544,-81.863575,3,,
5704,14882.0,41.286707,-81.83506,3,,
4806,11748.0,41.36444,-81.526691,3,,
5197,14222.0,41.457563,-81.581117,3,,
1208,3500.0,41.483017,-81.92085300000001,3,,
5196,14220.0,41.358142,-81.516017,3,,
1404,3872.0,41.453376,-81.55539399999999,3,,
5688,14866.0,41.265018,-81.841243,3,,
5689,14867.0,41.256923,-81.841241,3,,
3328,7947.0,41.463778000000005,-81.594356,3,,
1396,3858.0,41.456419,-81.573051,3,,
3329,7949.0,41.463726,-81.59200600000001,3,,
2544,6409.0,41.375394,-81.526767,3,,
5687,14865.0,41.267927,-81.840675,3,,
1405,3873.0,41.453277,-81.555273,3,,
3327,7946.0,41.463764000000005,-81.596235,3,,
3918,9508.0,41.59415,-81.513005,3,,
3330,7950.0,41.463795000000005,-81.592102,3,,
2548,6413.0,41.377306,-81.526788,3,,
5690,14868.0,41.25456,-81.841255,3,,
1395,3857.0,41.456425,-81.573142,3,,
3326,7945.0,41.463665,-81.59679100000001,3,,
5685,14863.0,41.290129,-81.835259,3,,
2556,6437.0,41.381664,-81.526884,3,,
4803,11745.0,41.362266999999996,-81.526655,3,,
4802,11744.0,41.359818,-81.526637,3,,
2546,6411.0,41.37923,-81.526815,3,,
3325,7944.0,41.463743,-81.599099,3,,
4801,11743.0,41.358201,-81.52617099999999,3,,
5686,14864.0,41.271392,-81.838564,3,,
5681,14859.0,41.261133,-81.841241,3,,
5128,14123.0,41.395501,-81.842526,4,,
2038,5467.0,41.481367999999996,-81.856588,4,,
3497,8303.0,41.413167,-81.722727,4,,
4701,11371.0,41.488704,-81.959808,4,,
3862,9311.0,41.481574,-81.86989,4,,
3495,8301.0,41.404651,-81.722719,4,,
416,1579.0,41.395897,-81.722656,4,,
5421,14570.0,41.419093,-81.69478000000001,4,,
821,2594.0,41.480511,-81.924267,4,,
5422,14571.0,41.312751,-81.75493900000001,4,,
301,1030.0,41.485304,-81.956447,4,,
5423,14572.0,41.312699,-81.750899,4,,
414,1572.0,41.397459999999995,-81.72274499999999,4,,
3500,8306.0,41.416804,-81.722735,4,,
403,1534.0,41.379243,-81.726001,4,,
412,1567.0,41.313695,-81.727323,4,,
4703,11373.0,41.492523,-81.95966999999999,4,,
2043,5481.0,41.483791,-81.843765,4,,
2930,7166.0,41.313758,-81.72977900000001,4,,
2045,5487.0,41.490387,-81.937711,4,,
4435,10896.0,41.481752,-81.921027,4,,
2931,7167.0,41.313677,-81.729791,4,,
2047,5491.0,41.483453000000004,-81.846357,4,,
5129,14124.0,41.391181,-81.842784,4,,
2049,5501.0,41.494995,-81.9544,4,,
2923,7153.0,41.313764,-81.73673199999999,4,,
3534,8375.0,41.478970000000004,-81.924968,4,,
3868,9322.0,41.491271999999995,-81.942101,4,,
2933,7174.0,41.313765000000004,-81.710578,4,,
2051,5504.0,41.481877000000004,-81.876094,4,,
3867,9321.0,41.491721000000005,-81.944209,4,,
2054,5522.0,41.482265999999996,-81.852277,4,,
388,1462.0,41.379886,-81.72389100000001,4,,
5195,14219.0,41.357917,-81.515662,4,,
2035,5450.0,41.494091,-81.951846,4,,
2033,5437.0,41.483768,-81.841608,4,,
2039,5468.0,41.492519,-81.947281,4,,
1019,3014.0,41.479603999999995,-81.882172,4,,
2932,7172.0,41.313889,-81.69037800000001,4,,
2048,5500.0,41.48236,-81.88058199999999,4,,
4056,9827.0,41.313784999999996,-81.7251,4,,
3861,9310.0,41.48165,-81.863004,4,,
4093,9906.0,41.313883000000004,-81.714034,4,,
3668,8702.0,41.481640000000006,-81.896078,4,,
4094,9909.0,41.313945000000004,-81.71879399999999,4,,
3670,8704.0,41.484936,-81.912824,4,,
4095,9911.0,41.314005,-81.723933,4,,
585,2133.0,41.49758,-81.959518,4,,
587,2137.0,41.494465000000005,-81.959611,4,,
4096,9913.0,41.313815000000005,-81.739357,4,,
3672,8710.0,41.483658,-81.90615600000001,4,,
3673,8712.0,41.484259,-81.90856,4,,
3675,8716.0,41.485308,-81.954481,4,,
3677,8720.0,41.48068,-81.888564,4,,
2545,6410.0,41.375155,-81.526916,4,,
3679,8722.0,41.481390000000005,-81.892543,4,,
3680,8723.0,41.483013,-81.90355799999999,4,,
4702,11372.0,41.490634,-81.959744,4,,
5424,14573.0,41.312616,-81.745029,4,,
2587,6493.0,41.482321999999996,-81.94523199999999,4,,
2547,6412.0,41.379481,-81.52695200000001,4,,
2583,6489.0,41.48222,-81.934348,4,,
